ortho_id	clade1	clade2	clade3	clade4
clust_0475	1	1	1	1
clust_0476	1	1	1	1
clust_0477	1	1	1	1
clust_0478	1	1	1	1
clust_0479	1	1	1	1
clust_0480	1	1	1	1
clust_0481	1	1	1	1
clust_0482	1	1	1	1
clust_0483	1	1	1	1
clust_0484	1	1	1	1
clust_0485	1	1	1	1
clust_0486	1	1	1	1
clust_0487	1	1	1	1
clust_0488	1	1	1	1
clust_0489	1	1	1	1
clust_0490	1	1	1	1
clust_0491	1	1	1	1
clust_0492	1	1	1	1
clust_0493	1	1	1	1
clust_0494	1	1	1	1
clust_0495	1	1	1	1
clust_0496	1	1	1	1
clust_0497	1	1	1	1
clust_0498	1	1	1	1
clust_0499	1	1	1	1
clust_0500	1	1	1	1
clust_0501	1	1	1	1
clust_0502	1	1	1	1
clust_0503	1	1	1	1
clust_0504	1	1	1	1
clust_0505	1	1	1	1
clust_0506	1	1	1	1
clust_0507	1	1	1	1
clust_0508	1	1	1	1
clust_0509	1	1	1	1
clust_0510	1	1	1	1
clust_0511	1	1	1	1
clust_0512	1	1	1	1
clust_0513	1	1	1	1
clust_0514	1	1	1	1
clust_0515	1	1	1	1
clust_0516	1	1	1	1
clust_0517	1	1	1	1
clust_0518	1	1	1	1
clust_0519	1	1	1	1
clust_0520	1	1	1	1
clust_0521	1	1	1	1
clust_0522	1	1	1	1
clust_0523	1	1	1	1
clust_0524	1	1	1	1
clust_0525	1	1	1	1
clust_0526	1	1	1	1
clust_0527	1	1	1	1
clust_0528	1	1	1	1
clust_0529	1	1	1	1
clust_0530	1	1	1	1
clust_0531	1	1	1	1
clust_0532	1	1	1	1
clust_0533	1	1	1	1
clust_0534	1	1	1	1
clust_0535	1	1	1	1
clust_0536	1	1	1	1
clust_0537	1	1	1	1
clust_0538	1	1	1	1
clust_0539	1	1	1	1
clust_0540	1	1	1	1
clust_0541	1	1	1	1
clust_0542	1	1	1	1
clust_0543	1	1	1	1
clust_0544	1	1	1	1
clust_0545	1	1	1	1
clust_0546	1	1	1	1
clust_0547	1	1	1	1
clust_0548	1	1	1	1
clust_0549	1	1	1	1
clust_0550	1	1	1	1
clust_0551	1	1	1	1
clust_0552	1	1	1	1
clust_0553	1	1	1	1
clust_0554	1	1	1	1
clust_0555	1	1	1	1
clust_0556	1	1	1	1
clust_0557	1	1	1	1
clust_0558	1	1	1	1
clust_0559	1	1	1	1
clust_0560	1	1	1	1
clust_0561	1	1	1	1
clust_0562	1	1	1	1
clust_0563	1	1	1	1
clust_0564	1	1	1	1
clust_0565	1	1	1	1
clust_0566	1	1	1	1
clust_0567	1	1	1	1
clust_0568	1	1	1	1
clust_0569	1	1	1	1
clust_0570	1	1	1	1
clust_0571	1	1	1	1
clust_0572	1	1	1	1
clust_0573	1	1	1	1
clust_0574	1	1	1	1
clust_0575	1	1	1	1
clust_0576	1	1	1	1
clust_0577	1	1	1	1
clust_0578	1	1	1	1
clust_0579	1	1	1	1
clust_0580	1	1	1	1
clust_0581	1	1	1	1
clust_0582	1	1	1	1
clust_0583	1	1	1	1
clust_0584	1	1	1	1
clust_0585	1	1	1	1
clust_0586	1	1	1	1
clust_0587	1	1	1	1
clust_0588	1	1	1	1
clust_0589	1	1	1	1
clust_0590	1	1	1	1
clust_0591	1	1	1	1
clust_0592	1	1	1	1
clust_0593	1	1	1	1
clust_0594	1	1	1	1
clust_0595	1	1	1	1
clust_0596	1	1	1	1
clust_0597	1	1	1	1
clust_0598	1	1	1	1
clust_0599	1	1	1	1
clust_0600	1	1	1	1
clust_0601	1	1	1	1
clust_0602	1	1	1	1
clust_0603	1	1	1	1
clust_0604	1	1	1	1
clust_0605	1	1	1	1
clust_0606	1	1	1	1
clust_0607	1	1	1	1
clust_0608	1	1	1	1
clust_0609	1	1	1	1
clust_0610	1	1	1	1
clust_0611	1	1	1	1
clust_0612	1	1	1	1
clust_0613	1	1	1	1
clust_0614	1	1	1	1
clust_0615	1	1	1	1
clust_0616	1	1	1	1
clust_0617	1	1	1	1
clust_0618	1	1	1	1
clust_0619	1	1	1	1
clust_0620	1	1	1	1
clust_0621	1	1	1	1
clust_0622	1	1	1	1
clust_0623	1	1	1	1
clust_0624	1	1	1	1
clust_0625	1	1	1	1
clust_0626	1	1	1	1
clust_0627	1	1	1	1
clust_0628	1	1	1	1
clust_0629	1	1	1	1
clust_0630	1	1	1	1
clust_0631	1	1	1	1
clust_0632	0.818181818181818	1.125	1.07142857142857	1
clust_0633	1	1	1	1
clust_0634	1	1	1	1
clust_0635	1	1	1	1
clust_0636	1	1	1	1
clust_0637	1	1	1	1
clust_0638	1	1	1	1
clust_0639	1	1	1	1
clust_0640	1	1	1	1
clust_0641	1	1	1	1
clust_0642	1	1	1	1
clust_0643	1	1	1	1
clust_0644	1	1	1	1
clust_0645	1	1	1	1
clust_0646	1	1	1	1
clust_0647	1	1	1	1
clust_0648	1	1	1	1
clust_0649	1	1	1	1
clust_0650	1	1	1	1
clust_0651	1	1	1	1
clust_0652	1	1	1	1
clust_0653	1	1	1	1
clust_0654	1	1	1	1
clust_0655	1	1	1	1
clust_0656	1	1	1	1
clust_0657	1	1	1	1
clust_0658	1	1	1	1
clust_0659	1	1	1	1
clust_0660	1	1	1	1
clust_0661	1	1	1	1
clust_0662	1	1	1	1
clust_0663	1	1	1	1
clust_0664	1	1	1	1
clust_0665	1	1	1	1
clust_0666	1	1	1	1
clust_0667	1	1	1	1
clust_0668	1	1	1	1
clust_0669	1	1	1	1
clust_0670	1	1	1	1
clust_0671	1	1	1	1
clust_0672	1	1	1	1
clust_0673	1	1	1	1
clust_0674	1	1	1	1
clust_0675	1	1	1	1
clust_0676	1	1	1	1
clust_0677	1	1	1	1
clust_0678	1	1	1	1
clust_0679	1	1	1	1
clust_0680	1	1	1	1
clust_0681	1	1	1	1
clust_0682	1	1	1	1
clust_0683	1	1	1	1
clust_0684	1	1	1	1
clust_0685	1	1	1	1
clust_0686	1	1	1	1
clust_0687	1	1	1	1
clust_0688	1	1	1	1
clust_0689	1	1	1	1
clust_0690	1	1	1	1
clust_0691	1	1	1	1
clust_0692	1	1	1	1
clust_0693	1	1	1	1
clust_0694	1	1	1	1
clust_0695	1	1	1	1
clust_0696	1	1	1	1
clust_0697	1	1	1	1
clust_0698	1	1	1	1
clust_0699	1	1	1	1
clust_0700	1	1	1	1
clust_0701	1	1	1	1
clust_0702	1	1	1	1
clust_0703	1	1	1	1
clust_0704	1	1	1	1
clust_0705	1	1	1	1
clust_0706	1	1	1	1
clust_0707	1	1	1	1
clust_0708	1	1	1	1
clust_0709	1	1	1	1
clust_0710	1	1	1	1
clust_0711	1	1	1	1
clust_0712	0.727272727272727	1.75	0.857142857142857	0
clust_0713	0.818181818181818	1	1.07142857142857	1
clust_0714	1	1	0.928571428571429	1
clust_0715	0.909090909090909	1	1	1
clust_0716	0.909090909090909	1	1	1
clust_0717	0.909090909090909	1	1	1
clust_0718	1	1	0.928571428571429	1
clust_0719	1	0.875	1	1
clust_0720	1	1	0.928571428571429	1
clust_0721	1	1	0.928571428571429	1
clust_0722	1	0.875	1	1
clust_0723	1	0.875	1	1
clust_0724	1	1	0.928571428571429	1
clust_0725	1	1	0.928571428571429	1
clust_0726	1	1	0.928571428571429	1
clust_0727	1	1	0.928571428571429	1
clust_0728	1	1	0.928571428571429	1
clust_0729	1	0.875	1	1
